,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
11234,2018-10-02,1169746,105169.46,165000,105169.46,0.0,0.0,1100.0,310600.0,72,69,2018,5.0,1.0,105200.0
11281,2018-10-01,1162106,226196.66,96300,81000.00,1.0,1.0,550.0,114091.0,64,48,2017,18.0,1.0,81800.0
11286,2018-10-01,1172073,179456.75,698600,150000.00,2.0,2.0,1097.0,683109.0,64,64,2018,3.0,2.0,151100.0
11298,2018-10-01,1165981,154911.51,125440,100093.38,2.0,1.0,948.0,165032.0,64,26,2016,2.0,3.0,121100.0
11299,2018-10-01,1172980,160353.22,191000,161088.76,2.0,2.0,1346.0,249600.0,64,45,2017,5.0,1.0,181100.0
11451,2018-09-24,1150833,186346.69,107200,122501.85,2.0,2.0,890.0,155009.0,51,35,2017,4.0,1.0,122600.0
11455,2018-09-24,1164870,253979.88,154000,170000.00,3.0,2.0,1252.0,193766.0,51,3,2009,11.0,5.0,170100.0
11460,2018-09-24,1156221,67167.48,111550,68767.48,2.0,2.0,956.0,123751.0,51,48,2017,3.0,1.0,100700.0
11499,2018-09-18,1159300,159542.88,120360,118000.00,3.0,2.0,1255.0,163216.0,78,56,2017,4.0,4.0,124600.0
11551,2018-09-18,1169182,227036.51,105001,133000.00,3.0,2.0,1062.0,131834.0,78,61,2017,2.0,1.0,133100.0
11682,2018-09-11,1163767,413096.07,122000,145365.00,1.0,1.0,595.0,261800.0,91,60,2017,2.0,1.0,145400.0
11762,2018-09-05,1163365,236076.47,160000,141439.76,3.0,2.0,1258.0,210107.0,52,10,2013,6.0,6.0,150200.0
11834,2018-09-04,1161444,445235.96,152509,105300.00,3.0,2.0,1205.0,213888.0,35,20,2016,5.0,2.0,132800.0
11873,2018-08-29,1165034,120514.21,72450,59250.00,1.0,1.0,826.0,255800.0,46,43,2018,3.0,1.0,59300.0
11878,2018-08-29,1162911,267306.28,167100,160800.00,2.0,2.0,1110.0,191004.0,46,25,2016,4.0,1.0,160900.0
11885,2018-08-28,1163895,25229.31,143750,25229.31,3.0,2.0,1638.0,203452.0,92,47,2016,1.0,1.0,25300.0
11908,2018-08-28,1163941,108469.62,91000,93280.00,2.0,2.0,815.0,108768.0,92,42,2016,2.0,1.0,93300.0
11910,2018-08-28,1164848,57961.69,118500,58604.85,2.0,2.0,890.0,154893.0,92,87,2018,6.0,1.0,112700.0
11974,2018-08-27,1151587,360748.97,185700,179100.00,1.0,1.0,990.0,225804.0,80,42,2016,4.0,1.0,179600.0
12063,2018-08-22,1156415,367776.37,363100,367776.37,2.0,2.0,1100.0,461728.0,52,52,2018,4.0,1.0,367800.0
12086,2018-08-22,1163538,206154.84,123600,125730.00,2.0,1.0,848.0,262500.0,52,49,2017,20.0,1.0,126000.0
12112,2018-08-21,1163549,22064.06,181857,22064.06,1.0,1.0,822.0,374600.0,59,49,2017,4.0,1.0,26600.0
12125,2018-08-21,1163374,387420.0,155400,133745.61,2.0,2.0,883.0,168062.0,59,39,2017,5.0,1.0,133800.0
12134,2018-08-21,1163541,161482.04,96177,120000.00,1.0,1.0,583.0,120152.0,59,47,2017,6.0,1.0,120100.0
12158,2018-08-20,1159298,41822.15,165000,64176.93,3.0,2.0,1130.0,193451.0,67,5,2012,7.0,1.0,136400.0
12240,2018-08-14,1159142,119275.34,105948,76500.00,2.0,2.0,1180.0,114537.0,33,25,2017,4.0,1.0,79100.0
12291,2018-08-13,1162341,111456.12,203788,124118.45,3.0,2.0,1240.0,259419.0,68,2,2009,3.0,4.0,203600.0
12329,2018-08-08,1162316,237323.67,116000,120000.00,1.0,1.0,546.0,160920.0,41,37,2017,4.0,1.0,120100.0
12613,2018-07-26,1160063,65197.31,111150,66295.88,1.0,1.0,1010.0,153346.0,50,19,2016,2.0,2.0,66300.0
12660,2018-07-25,1160448,18465.77,147600,18465.77,1.0,1.0,646.0,254707.0,51,36,2017,2.0,1.0,115400.0
12755,2018-07-23,1154746,227313.26,103434,86300.00,2.0,1.0,764.0,158759.0,50,39,2017,6.0,2.0,105600.0
12796,2018-07-20,1159338,131564.98,147100,134564.98,2.0,2.0,885.0,181963.0,24,10,2015,9.0,1.0,150700.0
12810,2018-07-20,1159144,121369.85,110800,122603.15,1.0,1.0,670.0,375600.0,24,21,2017,7.0,1.0,140000.0
12912,2018-07-16,1149116,330562.83,127602,121500.00,1.0,1.0,507.0,169342.0,60,32,2016,10.0,1.0,131100.0
12913,2018-07-16,1155741,184537.25,119953,103700.00,3.0,2.0,1142.0,178503.0,60,54,2017,5.0,1.0,132100.0
12986,2018-07-13,1158849,113332.88,117600,113953.61,2.0,2.0,866.0,150952.0,42,27,2016,4.0,1.0,118300.0
13055,2018-07-11,1148119,156116.72,139360,158816.72,2.0,2.0,972.0,182026.0,35,32,2017,2.0,2.0,158900.0
13153,2018-07-06,1156416,39490.87,226100,44346.36,1.0,1.0,1026.0,355576.0,62,58,2017,2.0,4.0,56100.0
13156,2018-07-06,1155091,14018.65,90960,16900.00,2.0,2.0,1317.0,116320.0,62,7,2012,2.0,2.0,17600.0
13168,2018-07-06,1156633,285175.31,114000,106920.00,2.0,2.0,890.0,136574.0,62,44,2017,26.0,1.0,107000.0
13256,2018-07-02,1151560,298740.83,136188,113400.00,2.0,1.0,901.0,180908.0,32,24,2016,3.0,2.0,113500.0
13307,2018-06-27,1154166,213061.88,136800,95732.82,2.0,2.0,1275.0,195528.0,54,3,2011,4.0,4.0,123700.0
13331,2018-06-25,1149655,199242.71,95809,92340.00,0.0,1.0,355.0,331500.0,53,52,2017,2.0,1.0,93900.0
13344,2018-06-22,1145334,281337.68,121920,150000.00,2.0,2.0,1100.0,157007.0,39,18,2016,58.0,1.0,160100.0
13350,2018-06-22,1140447,414096.68,160930,175400.00,2.0,2.0,600.0,264500.0,39,30,2017,3.0,1.0,192200.0
13440,2018-06-19,1149388,312180.18,176800,170100.00,3.0,2.0,1190.0,197400.0,12,11,2017,4.0,3.0,176000.0
13579,2018-06-12,1151838,220604.58,93000,81249.50,2.0,2.0,822.0,112451.0,50,24,2016,8.0,1.0,81300.0
13587,2018-06-12,1148206,57970.66,95000,57970.66,1.0,0.0,432.0,119673.0,50,46,2017,10.0,1.0,98500.0
13747,2018-06-04,1149098,262439.23,130000,109200.00,2.0,2.0,979.0,337300.0,73,62,2017,4.0,1.0,109300.0
13815,2018-06-01,1150029,275565.47,112000,106920.00,1.0,1.0,680.0,141275.0,67,15,2014,9.0,2.0,107000.0
13841,2018-06-01,1150173,278008.05,165700,149113.60,2.0,2.0,1144.0,236092.0,67,48,2017,8.0,1.0,155300.0
14021,2018-05-24,1148636,113921.96,139340,108213.93,2.0,2.0,955.0,348200.0,30,22,2017,6.0,1.0,147100.0
14081,2018-05-23,1148443,6924.35,162750,6924.35,3.0,2.0,1325.0,195745.0,62,62,2018,1.0,1.0,10200.0
14126,2018-05-21,1148432,375315.46,282417,314468.14,2.0,2.0,1117.0,380061.0,57,3,2009,5.0,6.0,314500.0
14150,2018-05-21,1145083,69633.18,52965,42800.00,1.0,1.0,836.0,61028.0,57,55,2017,4.0,1.0,43900.0
