,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
3659,2019-12-04,1226313,261070.02,127290,150000.00,2.0,1.0,783.0,5000.0,193155.0,28,21,2018,0.0,4.0,1.0,167300.0
3668,2019-12-03,1234689,16222.52,166414,16222.52,3.0,2.0,1693.0,4140.0,244720.0,25,6,2016,1.0,1.0,1.0,52100.0
3671,2019-12-03,1217811,581848.25,195193,310000.00,3.0,2.0,1953.0,7875.0,298539.0,25,7,2017,0.0,3.0,1.0,243100.0
3675,2019-12-03,1239715,201461.31,167900,195000.00,3.0,2.0,1932.0,2433.0,213990.0,25,24,2019,1.0,4.0,1.0,55100.0
3691,2019-12-02,1216978,663479.49,270000,308400.00,4.0,2.0,1904.0,1474.0,345805.0,75,9,2014,1.0,5.0,1.0,4100.0
3696,2019-12-02,1234519,518610.29,290152,286897.87,3.0,3.0,2091.0,7100.0,333469.0,75,16,2016,0.0,3.0,2.0,325200.0
3699,2019-12-02,1236848,254637.3,116844,222000.00,2.0,1.0,1110.0,7500.0,266146.0,75,10,2015,0.0,2.0,2.0,4100.0
3702,2019-12-02,1238892,676548.35,415955,798406.40,5.0,3.0,2989.0,15000.0,605369.0,75,3,2010,0.0,2.0,3.0,4100.0
3716,2019-12-02,1237144,342098.89,180937,279000.00,4.0,2.0,1124.0,7500.0,295895.0,75,7,2014,0.0,2.0,4.0,4100.0
3741,2019-12-02,1239890,210444.8,212846,216178.73,3.0,2.0,1224.0,10450.0,306185.0,75,41,2018,0.0,5.0,1.0,69100.0
3746,2019-12-02,1234980,368963.5,143459,243000.00,3.0,2.0,1343.0,4500.0,300098.0,75,4,2011,1.0,4.0,3.0,267200.0
3749,2019-12-02,1235000,873695.38,261814,580000.00,2.0,1.0,1632.0,7500.0,652234.0,75,12,2015,0.0,3.0,5.0,4100.0
3759,2019-12-02,1217071,972286.22,694934,684060.00,4.0,4.0,4209.0,9987.0,927941.0,75,25,2017,0.0,6.0,1.0,169100.0
3761,2019-12-02,1216985,813694.23,485751,422400.00,4.0,2.0,2693.0,29450.0,532246.0,75,28,2017,1.0,5.0,1.0,169100.0
3788,2019-11-27,1237205,245514.61,254151,269100.00,4.0,2.0,1475.0,3402.0,333122.0,51,13,2017,0.0,11.0,3.0,269200.0
3825,2019-11-26,1234442,417956.1,242542,238000.00,3.0,2.0,1556.0,4800.0,329846.0,16,6,2016,0.0,5.0,7.0,256800.0
3826,2019-11-26,1234279,192757.71,114832,192757.71,4.0,2.0,1798.0,9188.0,332504.0,16,2,2013,1.0,3.0,7.0,244400.0
3828,2019-11-25,1226343,645455.06,570262,470515.75,3.0,2.0,2166.0,11348.0,473000.0,66,28,2017,1.0,2.0,1.0,400100.0
3829,2019-11-25,1216317,471711.45,173701,193440.00,3.0,2.0,1693.0,4714.0,245613.0,66,26,2017,1.0,5.0,1.0,110400.0
3832,2019-11-25,1234437,443695.2,333364,518852.70,3.0,3.0,2192.0,5775.0,439521.0,66,3,2009,1.0,6.0,4.0,500100.0
3837,2019-11-25,1235653,619403.25,365391,804753.93,4.0,2.0,2790.0,6500.0,299384.0,66,4,2012,0.0,2.0,3.0,500100.0
3838,2019-11-25,1221960,425516.06,188088,195780.00,4.0,2.0,1440.0,7500.0,262645.0,66,25,2017,0.0,2.0,1.0,198200.0
3846,2019-11-25,1239603,243406.92,279821,248831.64,5.0,3.0,2710.0,5050.0,344589.0,66,56,2019,1.0,5.0,2.0,291500.0
3856,2019-11-25,1234520,193718.49,221246,187289.09,3.0,2.0,1658.0,3600.0,297557.0,66,17,2016,1.0,5.0,1.0,230100.0
3882,2019-11-25,1235595,109144.51,168906,137651.38,3.0,2.0,1064.0,7622.0,272166.0,66,8,2012,1.0,4.0,6.0,176100.0
3900,2019-11-20,1235063,330955.53,247000,219513.02,2.0,3.0,1914.0,3387.0,308959.0,31,19,2018,1.0,2.0,2.0,254100.0
3922,2019-11-19,1237015,1544040.11,759280,855000.00,4.0,3.0,3537.0,33541.0,1111396.0,19,18,2019,0.0,4.0,1.0,855100.0
3972,2019-11-18,1234993,226956.12,195457,180000.00,2.0,1.0,1268.0,10725.0,268356.0,49,31,2018,0.0,4.0,2.0,203700.0
3973,2019-11-18,1234999,278088.61,207467,243000.00,4.0,2.0,1580.0,11342.0,276124.0,49,9,2015,0.0,2.0,9.0,200100.0
3984,2019-11-13,1232188,326016.17,204327,218700.00,3.0,2.0,1646.0,9042.0,301667.0,35,34,2019,1.0,7.0,1.0,218800.0
3989,2019-11-13,1235264,120144.23,231223,127463.38,3.0,2.0,1525.0,10000.0,319496.0,35,16,2017,1.0,5.0,3.0,182200.0
